Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
81,2016,Deion Jones\JoneDe01,OLB,21,29,LSU,College Stats,6-1,222,4.59,33.0,,120,,,Atlanta Falcons / 2nd / 52nd pick / 2016
82,2016,Cyrus Jones\JoneCy00,CB,22,4,Alabama,College Stats,5-10,197,4.49,33.0,10,116,6.71,4.21,New England Patriots / 2nd / 60th pick / 2016
83,2016,Chris Jones\JoneCh09,DT,21,30,Mississippi St.,College Stats,6-6,310,5.03,24.5,26,106,7.44,4.62,Kansas City Chiefs / 2nd / 37th pick / 2016
84,2016,C.J. Johnson\JohnC.00,ILB,23,,Mississippi,College Stats,6-1,234,4.81,,,,,4.52,
85,2016,Austin Johnson\JohnAu01,DT,21,11,Penn St.,College Stats,6-4,314,5.32,26.0,25,96,7.84,4.75,Tennessee Titans / 2nd / 43rd pick / 2016
86,2016,Jordan Jenkins\JenkJo01,OLB,21,25,Georgia,College Stats,6-3,259,4.80,36.5,16,121,,,New York Jets / 3rd / 83rd pick / 2016
87,2016,Quinton Jefferson\JeffQu00,DT,22,12,Maryland,College Stats,6-4,291,4.95,29.0,24,,7.95,4.37,Seattle Seahawks / 5th / 147th pick / 2016
88,2016,William Jackson III\JackWi02,CB,23,11,Houston,College Stats,6-0,189,4.37,,10,116,,,Cincinnati Bengals / 1st / 24th pick / 2016
89,2016,Myles Jack\JackMy00,OLB,20,29,UCLA,College Stats,6-1,245,4.56,,19,,,,Jacksonville Jaguars / 2nd / 36th pick / 2016
90,2016,Branden Jackson\JackBr04,DE,23,4,Texas Tech,College Stats,6-4,273,5.06,31.5,20,113,7.40,4.77,
91,2016,Matt Ioannidis\IoanMa01,DT,22,18,Temple,College Stats,6-3,299,5.03,28.0,32,108,7.78,4.71,Washington Redskins / 5th / 152nd pick / 2016
92,2016,Xavien Howard\HowaXa00,CB,22,19,Baylor,College Stats,6-0,201,4.58,33.0,11,122,7.18,4.15,Miami Dolphins / 2nd / 38th pick / 2016
93,2016,Deandre Houston-Carson\HousDe00,FS,22,3,William & Mary,,6-1,201,4.54,32.5,13,115,7.15,4.28,Chicago Bears / 6th / 185th pick / 2016
94,2016,Willie Henry\HenrWi00,DT,21,4,Michigan,College Stats,6-3,303,5.00,30.5,28,110,7.57,4.53,Baltimore Ravens / 4th / 132nd pick / 2016
95,2016,Joel Heath\HeatJo00,DT,22,7,Michigan St.,College Stats,6-5,293,5.02,33.0,26,113,7.44,4.52,
96,2016,Vernon Hargreaves III\HargVe00,CB,20,13,Florida,College Stats,5-10,204,4.50,39.0,15,130,,3.98,Tampa Bay Buccaneers / 1st / 11th pick / 2016
97,2016,Javon Hargrave\HargJa00,DT,23,27,South Carolina St.,,6-1,309,4.93,34.5,29,109,7.90,4.70,Pittsburgh Steelers / 3rd / 89th pick / 2016
98,2016,T.J. Green\GreeT.00,FS,20,4,Clemson,College Stats,6-2,209,4.34,35.5,13,129,,,Indianapolis Colts / 2nd / 57th pick / 2016
99,2016,Adam Gotsis\GotsAd00,DT,23,17,Georgia Tech,College Stats,6-4,287,4.88,,,,,,Denver Broncos / 2nd / 63rd pick / 2016
100,2016,B.J. Goodson\GoodB.00,OLB,22,15,Clemson,College Stats,6-1,242,4.69,34.5,30,118,7.05,4.51,New York Giants / 4th / 109th pick / 2016
101,2016,Kendall Fuller\FullKe00,CB,21,12,Virginia Tech,College Stats,5-11,187,4.48,,15,,,,Washington Redskins / 3rd / 84th pick / 2016
102,2016,Kris Frost\FrosKr00,OLB,,,Auburn,College Stats,6-2,240,4.97,29.0,,113,,,
103,2016,Kavon Frazier\FrazKa00,FS,21,3,Central Michigan,College Stats,6-0,217,4.53,,18,,,,Dallas Cowboys / 6th / 212th pick / 2016
104,2016,Josh Forrest\ForrJo00,ILB,24,2,Kentucky,College Stats,6-3,249,4.91,30.5,11,118,,,Los Angeles Rams / 6th / 190th pick / 2016
105,2016,Leonard Floyd\FloyLe00,OLB,23,29,Georgia,College Stats,6-6,244,4.60,39.5,,127,,,Chicago Bears / 1st / 9th pick / 2016
106,2016,Travis Feeney\FeenTr00,OLB,23,,Washington,College Stats,6-4,230,4.50,40.0,,130,7.20,4.42,Pittsburgh Steelers / 6th / 220th pick / 2016
107,2016,Jason Fanaika\FanaJa01,DE,23,,Utah,College Stats,6-2,271,4.92,35.5,23,113,7.06,4.39,
108,2016,Kyler Fackrell\FackKy00,OLB,24,10,Utah St.,College Stats,6-5,245,4.72,34.5,15,121,,,Green Bay Packers / 3rd / 88th pick / 2016
109,2016,Kevin Dodd\DoddKe00,DE,23,2,Clemson,College Stats,6-5,277,4.86,,,,,,Tennessee Titans / 2nd / 33rd pick / 2016
110,2016,KJ Dillon\DillK.00,SS,21,0,West Virginia,College Stats,6-0,210,4.53,,11,121,,,Houston Texans / 5th / 159th pick / 2016
111,2016,Sheldon Day\DayxSh00,DT,21,6,Notre Dame,College Stats,6-1,293,5.07,30.0,21,102,7.44,4.50,Jacksonville Jaguars / 4th / 103rd pick / 2016
112,2016,Sean Davis\DaviSe00,CB,22,16,Maryland,College Stats,6-1,201,4.46,37.5,21,126,6.64,3.97,Pittsburgh Steelers / 2nd / 58th pick / 2016
113,2016,Steven Daniels\DaniSt00,ILB,23,,Boston Col.,College Stats,5-11,243,4.86,32.0,16,112,7.33,4.54,Washington Redskins / 7th / 232nd pick / 2016
114,2016,Ken Crawley\CrawKe01,CB,22,,Colorado,College Stats,6-0,187,4.43,36.5,,119,,,
115,2016,Su'A Cravens\CravSu00,OLB,20,3,USC,College Stats,6-1,226,4.58,27.0,16,114,,,Washington Redskins / 2nd / 53rd pick / 2016
