Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
58,2019,D.K. Metcalf\MetcDK00,WR,21,8,Mississippi,College Stats,6-3,228,4.33,40.5,27,134,7.38,4.50,Seattle Seahawks / 2nd / 64th pick / 2019
59,2019,Trace McSorley\McSoTr00,QB,23,0,Penn St.,College Stats,6-0,202,4.57,33.0,,115,7.09,4.12,Baltimore Ravens / 6th / 197th pick / 2019
60,2019,Terry McLaurin\McLaTe00,WR,23,7,Ohio St.,College Stats,6-0,208,4.35,37.5,18,125,7.01,4.15,Washington Redskins / 3rd / 76th pick / 2019
61,2019,Connor McGovern\McGoCo01,OL,21,,Penn St.,College Stats,6-5,308,,,28,112,7.66,4.57,Dallas Cowboys / 3rd / 90th pick / 2019
62,2019,Kaleb McGary\McGaKa00,OT,24,9,Washington,College Stats,6-7,317,5.05,33.5,23,111,7.66,4.58,Atlanta Falcons / 1st / 31st pick / 2019
63,2019,Erik McCoy\McCoEr01,OL,21,7,Texas A&M,College Stats,6-4,303,4.89,31.0,29,107,8.28,4.62,New Orleans Saints / 2nd / 48th pick / 2019
64,2019,Alexander Mattison\MattAl01,RB,20,4,Boise St.,College Stats,5-11,221,4.67,35.0,22,127,7.13,4.29,Minnesota Vikings / 3rd / 102nd pick / 2019
65,2019,Alize Mack\MackAl00,TE,21,,Notre Dame,College Stats,6-4,249,4.70,36.0,22,120,7.27,4.34,New Orleans Saints / 7th / 231st pick / 2019
66,2019,Bryce Love\LoveBr00,RB,21,,Stanford,College Stats,5-9,200,,,18,,,,Washington Redskins / 4th / 112th pick / 2019
67,2019,Damarkus Lodge\LodgDa00,WR,21,,Mississippi,College Stats,6-2,202,4.55,33.5,11,119,7.06,4.53,
68,2019,Drew Lock\LockDr00,QB,22,3,Missouri,College Stats,6-4,228,4.69,31.0,,112,7.03,4.12,Denver Broncos / 2nd / 42nd pick / 2019
69,2019,Greg Little\LittGr01,OT,21,1,Mississippi,College Stats,6-5,310,5.33,25.0,,113,,4.74,Carolina Panthers / 2nd / 37th pick / 2019
70,2019,Chris Lindstrom\LindCh00,OL,22,2,Boston Col.,College Stats,6-4,308,4.91,30.5,25,117,7.61,4.54,Atlanta Falcons / 1st / 14th pick / 2019
71,2019,Dawson Knox\KnoxDa00,TE,22,3,Mississippi,College Stats,6-4,254,,34.5,16,,7.12,4.27,Buffalo Bills / 3rd / 96th pick / 2019
72,2019,Brandon Knight\KnigBr00,OT,,,Indiana,College Stats,6-4,314,,,,,,,
73,2019,Michael Jordan\JordMi01,OT,21,4,Ohio St.,College Stats,6-6,312,5.27,32.5,19,116,7.71,4.71,Cincinnati Bengals / 4th / 136th pick / 2019
74,2019,Tyler Jones\JoneTy01,OT,,,North Carolina St.,College Stats,6-3,306,,31.5,23,111,7.75,4.82,
75,2019,Daniel Jones\JoneDa05,QB,21,9,Duke,College Stats,6-5,221,4.81,33.5,,120,7.00,4.41,New York Giants / 1st / 6th pick / 2019
76,2019,Bisi Johnson\JohnOl00,WR,21,3,Colorado St.,College Stats,6-0,204,4.51,38.0,14,124,6.88,4.16,Minnesota Vikings / 7th / 247th pick / 2019
77,2019,Keesean Johnson\JohnKe07,WR,22,2,Fresno St.,College Stats,6-1,201,4.60,30.0,14,117,7.28,4.23,Arizona Cardinals / 6th / 174th pick / 2019
78,2019,Fred Johnson\JohnFr00,OL,,,Florida,College Stats,6-7,326,,,,,,,
79,2019,Diontae Johnson\JohnDi01,WR,22,6,Toledo,College Stats,5-10,183,4.53,33.5,15,123,7.09,4.45,Pittsburgh Steelers / 3rd / 66th pick / 2019
