Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
60,2014,Daniel McCullers\McCuDa00,DT,21,5,Tennessee,College Stats,6-7,352,5.18,20.5,27,97,,,Pittsburgh Steelers / 6th / 215th pick / 2014
61,2014,Josh Mauro\MaurJo00,DE,23,22,Stanford,College Stats,6-6,271,5.21,32.0,21,116,7.43,4.51,
62,2014,Kareem Martin\MartKa00,DE,22,14,North Carolina,College Stats,6-6,272,4.72,35.5,22,129,7.20,4.33,Arizona Cardinals / 3rd / 84th pick / 2014
63,2014,Cassius Marsh\MarsCa00,DE,21,12,UCLA,College Stats,6-4,252,4.89,32.0,14,108,7.08,4.25,Seattle Seahawks / 4th / 108th pick / 2014
64,2014,Eathyn Manumaleuna\ManuEa00,DT,,,BYU,College Stats,6-2,296,5.16,28.0,29,101,7.78,4.61,
65,2014,Khalil Mack\MackKh00,OLB,23,76,Buffalo,College Stats,6-3,251,4.65,40.0,23,128,7.08,4.18,Oakland Raiders / 1st / 5th pick / 2014
66,2014,Aaron Lynch\LyncAa00,DE,20,14,South Florida,College Stats,6-5,249,4.76,,18,,,,San Francisco 49ers / 5th / 150th pick / 2014
67,2014,Craig Loston\LostCr00,SS,24,1,LSU,College Stats,6-1,217,4.65,32.5,12,119,7.15,4.35,
68,2014,Boseko Lokombo\LokoBo01,OLB,23,,Oregon,College Stats,6-2,225,4.66,,,122,7.15,4.30,
69,2014,Isaiah Lewis\LewiIs00,SS,22,,Michigan St.,College Stats,5-10,211,4.60,36.5,15,122,7.05,4.47,
70,2014,Nevin Lawson\LawsNe00,CB,22,19,Utah St.,College Stats,5-9,190,4.48,33.0,16,120,7.12,4.40,Detroit Lions / 4th / 133rd pick / 2014
71,2014,Demarcus Lawrence\LawrDe00,DE,21,44,Boise St.,College Stats,6-3,251,4.80,34.5,20,113,7.46,4.31,Dallas Cowboys / 2nd / 34th pick / 2014
72,2014,Kenny Ladler\LadlKe00,FS,21,0,Vanderbilt,College Stats,6-0,207,4.70,36.5,24,127,,,
73,2014,Christian Kirksey\KirkCh00,OLB,21,27,Iowa,College Stats,6-2,233,4.72,32.0,16,122,,,Cleveland Browns / 3rd / 71st pick / 2014
74,2014,Zach Kerr\KerrZa00,DT,23,12,Tennessee,,6-1,326,5.06,28.5,28,99,7.93,4.71,
75,2014,Devon Kennard\KennDe00,OLB,22,33,USC,College Stats,6-3,249,4.70,30.0,23,113,7.25,4.32,New York Giants / 5th / 174th pick / 2014
76,2014,Lamarcus Joyner\JoynLa00,CB,23,21,Florida St.,College Stats,5-8,184,4.55,37.5,14,124,7.26,4.40,St. Louis Rams / 2nd / 41st pick / 2014
77,2014,Howard Jones\JoneHo01,OLB,24,4,Shepherd,,6-2,235,4.60,40.5,21,124,7.16,4.41,
78,2014,DaQuan Jones\JoneDa04,DT,22,36,Penn St.,College Stats,6-4,322,5.35,27.5,25,101,7.73,4.78,Tennessee Titans / 4th / 112th pick / 2014
79,2014,Christian Jones\JoneCh05,OLB,23,31,Florida St.,College Stats,6-3,240,4.68,33.5,,115,,,
80,2014,Dontae Johnson\JohnDo02,CB,22,10,North Carolina St.,College Stats,6-2,200,4.41,38.5,12,124,6.82,4.24,San Francisco 49ers / 4th / 129th pick / 2014
81,2014,Anthony Johnson\JohnAn04,DT,21,2,LSU,College Stats,6-2,308,5.24,24.5,20,102,7.93,4.83,
82,2014,Timmy Jernigan\JernTi00,DT,21,27,Florida St.,College Stats,6-2,299,5.06,29.5,27,102,,4.83,Baltimore Ravens / 2nd / 48th pick / 2014
83,2014,Jackson Jeffcoat\JeffJa00,DE,22,1,Texas,College Stats,6-3,247,4.63,36.0,18,123,6.97,4.18,
84,2014,Stanley Jean-Baptiste\JeanSt00,CB,23,0,Nebraska,College Stats,6-3,218,4.61,41.5,13,128,,4.33,New Orleans Saints / 2nd / 58th pick / 2014
85,2014,Kendall James\JameKe00,CB,22,,Maine,,5-10,180,4.44,39.0,9,,6.81,4.19,Minnesota Vikings / 6th / 184th pick / 2014
86,2014,Bennett Jackson\JackBe00,CB,22,0,Notre Dame,College Stats,6-0,195,4.51,38.0,13,128,6.75,4.00,New York Giants / 6th / 187th pick / 2014
87,2014,Andrew Jackson\JackAn02,ILB,21,1,Western Kentucky,College Stats,6-1,254,4.90,,,,,,Indianapolis Colts / 6th / 203rd pick / 2014
88,2014,Kerry Hyder\HydeKe01,DT,22,6,Texas Tech,College Stats,6-2,290,5.10,29.5,20,108,7.23,4.33,
89,2014,Marqueston Huff\HuffMa00,FS,21,4,Wyoming,College Stats,5-11,196,4.49,35.5,15,118,7.26,4.19,Tennessee Titans / 4th / 122nd pick / 2014
90,2014,Adrian Hubbard\HubbAd00,OLB,22,,Alabama,College Stats,6-6,257,4.69,38.5,,117,,,
91,2014,Anthony Hitchens\HitcAn00,OLB,21,37,Iowa,College Stats,6-0,240,4.74,31.5,23,116,7.15,4.45,Dallas Cowboys / 4th / 119th pick / 2014
92,2014,Taylor Hart\HartTa00,DE,23,1,Oregon,College Stats,6-6,281,4.92,,21,,,,Philadelphia Eagles / 5th / 141st pick / 2014
93,2014,Victor Hampton\HampVi00,CB,21,,South Carolina,College Stats,5-9,197,4.69,33.5,20,118,7.01,4.20,
94,2014,Andre Hal\HalxAn00,CB,21,20,Vanderbilt,College Stats,5-10,188,4.50,35.5,15,119,7.14,4.27,Houston Texans / 7th / 216th pick / 2014
95,2014,Ra'Shede Hageman\HageRa00,DT,23,8,Minnesota,College Stats,6-6,310,4.92,35.5,32,114,7.87,4.50,Atlanta Falcons / 2nd / 37th pick / 2014
96,2014,Demetri Goodson\GoodDe00,CB,24,2,Baylor,College Stats,5-11,194,4.52,37.0,11,123,6.80,4.34,Green Bay Packers / 6th / 197th pick / 2014
